Lightning Bolt FOIL [Secret Lair - 085],PR-SLD-FOIL-ENG-085-NM,0,7.4000,7.4000,7.4000
Lightning Dragon (USG),MISC-R-ENG-USG-202-NM ,0,1.9500,1.9500,1.9500
Lightning Dragon (USG) (Prerelease),PR-PUSG-ENG-202s-NM,0,195.0000,195.0000,195.0000
Lightning Dragon (USG) (Prerelease) [EX-PLD],PR-PUSG-ENG-202s-EX,1,175.5000,175.5000,175.5000
Lightning Dragon (USG) [EX-PLD],MISC-R-ENG-USG-202-EX,1,3.2400,3.2400,3.2400
Lightning Greaves,AFC-UC-ENG-331-NM,5,10.8000,10.8000,10.8000
Lightning Helix ,DD-AVN-023-EN-NM,3,2.0500,2.0500,2.0500
Arc Lightning,KTK-UC-EN-097-NM,10,0.5000,0.5000,0.5000
Arc Lightning (Ugin's Fate),PR-ENG-UGF-097-NM,0,2.5000,2.5000,2.5000
Arc Lightning FOIL,KTK-UC-FOIL-EN-097-NM,0,1.0000,1.0000,1.0000
Ball Lightning,A25-R-EN-121-NM,2,2.0000,2.0000,2.0000
Ball Lightning,JMP-R-ENG-291-NM,3,2.0000,2.0000,2.0000
Ball Lightning,MB2-R-ENG-0130-NM,1,3.4000,3.4000,3.4000
Ball Lightning ( Magic 2010 ),MISC-R-ENG-M10-125-NM,10,2.0500,2.0500,2.0500
Ball Lightning (Fifth Edition),MISC-R-ENG-5ED-210-NM,3,8.1000,8.1000,8.1000
Ball Lightning (Fourth Edition),MISC-R-EN-4ED-194-NM,3,7.8000,7.8000,7.8000
Ball Lightning (Fourth Edition) [Moderately Played],MISC-R-EN-4ED-194-NM,4,5.7000,5.7000,5.7000
Ball Lightning (Premium Deck Series: Fire and Lightning),MISC-R-FOIL-ENG-PD2-012-NM,0,3.6400,3.6400,3.6400
Ball Lightning (The Dark) [Moderately Played],MISC-R-ENG-DRK-057-MP,2,40.5000,40.5000,40.5000
Ball Lightning FOIL,A25-R-FOIL-EN-121-NM,1,4.5500,4.5500,4.5500
Ball Lightning FOIL (30th Anniversary Play Promos),PR-P30A-R-FOIL-ENG-002-NM,2,1.8000,1.8000,1.8000
Barbarian Ring FOIL ( Premium Deck Series: Fire and Lightning ),MISC-UC-FOIL-EN-PD2-28-NM,0,3.0000,3.0000,3.0000
Blightning,DD-SVT-69-EN-NM,0,1.0000,1.0000,1.0000
Blightning,A25-UC-EN-198-NM,0,0.5000,0.5000,0.5000
Blightning (Masters 25),MB1-UC-ENG-198-NM,0,0.5000,0.5000,0.5000
Blightning (Shards of Alara),MISC-C-ENG-ALA-156-NM,0,1.0000,1.0000,1.0000
Blightning FOIL (Shards of Alara),MISC-C-FOIL-ENG-ALA-156-NM,1,2.6000,2.6000,2.6000
Blightning [Textless] (Magic Players Rewards 2009),PR-P09-ENG-006-NM,1,5.4000,5.4000,5.4000
Browbeat ( Premium Deck Series: Fire & Lightning ) FOIL,MISC-BrowBeat-FnL-EN-NM-FOIL,0,3.0000,3.0000,3.0000
Burst Lightning,ZEN-119EN-NM,2,0.8000,0.8000,0.8000
Burst Lightning,MMB-C-EN-109-NM,12,0.5000,0.5000,0.5000
Burst Lightning,FDN-C-ENG-0192-NM,0,0.5000,0.5000,0.5000
Burst Lightning (Magic Player Rewards),PR-C-EN-MPR-8P10-NM,0,5.2000,5.2000,5.2000
Burst Lightning (Textless),MB1-PLIST-R-ENG-126-NM,0,4.5500,4.5500,4.5500
Burst Lightning FOIL,MMB-C-FOIL-EN-109-NM,0,1.5000,1.5000,1.5000
Chain Lightning,EMA-UC-EN-123-NM,21,1.4000,1.4000,1.4000
Chain Lightning,AKH-EXP-EN-026-NM,0,75.0000,75.0000,75.0000
Chain Lightning,BBD-UC-EN-171-NM,27,7.4000,7.4000,7.4000
